时间,MFI,买入,卖出,累计涨幅,MFI原始,MFI六日平均,收盘价
2006/1/24,4.067503244,2,4.5,3.866,81.23206506,81.35006488,999.093
2006/1/25,4.074808153,2,4.5,4.6209,80.98682649,81.49616305,1009.597
2006/2/6,4.084589569,2,4.5,4.9573,80.7710037,81.69179139,1033.234
2006/2/7,4.145147928,2,4.5,3.8655,81.37504792,82.90295856,1029.937
2006/2/8,4.241121185,2,4.5,3.9562,81.69192225,84.8224237,1033.072
2006/2/9,4.271537911,2,4.5,2.3679,82.04352384,85.43075821,1019.599
2006/2/10,4.245505558,2,4.5,3.323,82.10865413,84.91011116,1032.337
2006/2/13,4.215473472,2,4.5,2.2016,82.16059647,84.30946943,1031.614
2006/2/14,4.186055927,2,4.5,0.5309,88.03800674,83.72111854,1038.531
2006/2/15,4.108811237,2,4.5,1.1513,92.89183879,82.17622473,1041.66
2006/2/16,3.940305717,2,4.5,-1.2209,85.34192932,78.80611433,1020.121
2006/2/17,3.831261278,2,4.5,0.1075,78.91964152,76.62522555,1020.368
2006/2/20,3.768719537,2,4.5,-1.0172,78.50480374,75.37439075,1021.639
2006/2/21,3.65104058,2,4.5,0.7341,78.63049113,73.02081159,1038.816
2006/2/22,3.59319974,2,4.5,-0.026,78.76864389,71.86399481,1037.885
2006/2/23,3.468692259,2,4.5,0.0088,72.6711764,69.37384517,1041.373
2006/2/24,3.336442445,2,4.5,2.8516,72.25659661,66.72884889,1049.444
2006/2/27,3.206919101,2,4.5,2.675,71.41463272,64.13838202,1047.845
2006/2/28,3.024327619,2,4.5,3.0433,64.38332879,60.48655238,1053.01
2006/3/1,2.913009367,2,4.5,1.7047,71.68959043,58.26018734,1056.619
2006/3/2,2.753404988,2,4.5,0.0952,63.82774609,55.06809976,1038.666
2006/3/3,2.649227034,2,4.5,0.049,56.80119872,52.98454068,1041.677
2006/3/6,2.585105965,2,4.5,-0.9952,56.71379538,51.70211931,1038.873
2006/3/7,2.497300755,2,4.5,-3.1434,49.50365484,49.9460151,1014.973
2006/3/8,2.527815482,2,4.5,-4.1981,51.02513858,50.55630965,1009.271
2006/3/9,2.537118605,2,4.5,-5.029,52.53706498,50.7423721,1004.344
2006/3/10,2.46570691,2,4.5,-2.8766,51.32639157,49.3141382,1008.897
2006/3/13,2.467693021,2,4.5,-2.0795,49.1066705,49.35386043,1019.864
2006/3/14,2.487104628,2,4.5,-1.9664,46.17717015,49.74209255,1018.272
2006/3/15,2.614537088,2,4.5,1.3836,53.16542213,52.29074177,1028.958
2006/3/16,2.76383025,2,4.5,1.815,52.14151329,55.27660501,1027.616
2006/3/17,2.847793513,2,4.5,1.9528,43.96766157,56.95587026,1024.015
2006/3/20,3.069795012,2,4.5,2.8319,51.56472495,61.39590025,1037.659
2006/3/21,3.297579524,2,4.5,2.0435,51.43606325,65.95159049,1040.757
2006/3/22,3.582369358,2,4.5,2.8634,61.46906543,71.64738717,1047.666
