时间,MFI,MFI六日平均,收盘价,买入,卖出,累计涨幅
2006/1/24,81.23206506,81.35006488,999.093,2,4.5,3.866
2006/1/25,80.98682649,81.49616305,1009.597,2,4.5,4.6209
2006/2/6,80.7710037,81.69179139,1033.234,2,4.5,4.9573
2006/2/7,81.37504792,82.90295856,1029.937,2,4.5,3.8655
2006/2/8,81.69192225,84.8224237,1033.072,2,4.5,3.9562
2006/2/9,82.04352384,85.43075821,1019.599,2,4.5,2.3679
2006/2/10,82.10865413,84.91011116,1032.337,2,4.5,3.323
2006/2/13,82.16059647,84.30946943,1031.614,2,4.5,2.2016
2006/2/14,88.03800674,83.72111854,1038.531,2,4.5,0.5309
2006/2/15,92.89183879,82.17622473,1041.66,2,4.5,1.1513
2006/2/16,85.34192932,78.80611433,1020.121,2,4.5,-1.2209
2006/2/17,78.91964152,76.62522555,1020.368,2,4.5,0.1075
2006/2/20,78.50480374,75.37439075,1021.639,2,4.5,-1.0172
2006/2/21,78.63049113,73.02081159,1038.816,2,4.5,0.7341
2006/2/22,78.76864389,71.86399481,1037.885,2,4.5,-0.026
2006/2/23,72.6711764,69.37384517,1041.373,2,4.5,0.0088
2006/2/24,72.25659661,66.72884889,1049.444,2,4.5,2.8516
2006/2/27,71.41463272,64.13838202,1047.845,2,4.5,2.675
2006/2/28,64.38332879,60.48655238,1053.01,2,4.5,3.0433
2006/3/1,71.68959043,58.26018734,1056.619,2,4.5,1.7047
2006/3/2,63.82774609,55.06809976,1038.666,2,4.5,0.0952
2006/3/3,56.80119872,52.98454068,1041.677,2,4.5,0.049
2006/3/6,56.71379538,51.70211931,1038.873,2,4.5,-0.9952
2006/3/7,49.50365484,49.9460151,1014.973,2,4.5,-3.1434
2006/3/8,51.02513858,50.55630965,1009.271,2,4.5,-4.1981
2006/3/9,52.53706498,50.7423721,1004.344,2,4.5,-5.029
2006/3/10,51.32639157,49.3141382,1008.897,2,4.5,-2.8766
2006/3/13,49.1066705,49.35386043,1019.864,2,4.5,-2.0795
2006/3/14,46.17717015,49.74209255,1018.272,2,4.5,-1.9664
2006/3/15,53.16542213,52.29074177,1028.958,2,4.5,1.3836
2006/3/16,52.14151329,55.27660501,1027.616,2,4.5,1.815
2006/3/17,43.96766157,56.95587026,1024.015,2,4.5,1.9528
2006/3/20,51.56472495,61.39590025,1037.659,2,4.5,2.8319
2006/3/21,51.43606325,65.95159049,1040.757,2,4.5,2.0435
2006/3/22,61.46906543,71.64738717,1047.666,2,4.5,2.8634
2006/3/23,71.08060155,74.30242895,1048.537,2,4.5,1.8971
2006/3/24,62.21710481,74.09018994,1042.601,2,4.5,1.4614
2006/3/27,70.6078415,75.66712925,1050.707,2,4.5,2.5893
2006/3/28,78.89886638,76.12622077,1055.982,2,4.5,1.7589
2006/3/29,85.61084333,75.48206762,1065.294,2,4.5,2.3421
2006/3/30,77.39931613,74.72005075,1055.634,2,4.5,0.7715
2006/3/31,69.80716749,73.91362052,1061.088,2,4.5,1.2051
2006/4/3,71.67874067,74.5560346,1079.322,2,4.5,3.4896
2006/4/4,73.36239059,75.10306893,1089.371,2,4.5,3.6431
2006/4/5,75.03394751,74.16621506,1099.97,2,4.5,4.114
2006/4/6,81.03874211,72.53512978,1103.237,2,4.5,3.5292
2006/4/7,72.56073476,70.14477277,1103.154,2,4.5,4.4285
2006/4/10,73.66165195,69.35996879,1117.91,2,4.5,5.2494
2006/4/11,74.96094669,68.43544361,1123.308,2,4.5,4.0139
2006/4/12,67.74126735,68.2406593,1117.073,2,4.5,2.5278
2006/4/13,65.24743581,70.17109988,1093.925,2,4.5,-0.5173
2006/4/14,66.69660004,72.62571418,1118.607,2,4.5,1.442
